Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
1398,Millen,Sauvé,Ahuntsic - Cartierville,292703.08,5045913.76,-73.6549360698666,45.5530313585079
1399,Saint-Antoine,Vinet,Sud-Ouest,298615.57,5038558.55,-73.5791168186857,45.4869238825946
1400,City Councillors,Maisonneuve,Ville-Marie,299310.43,5040644.07,-73.5702508792942,45.5056961078823
1401,Notre-Dame,Sortie Molson,Ville-Marie,301017.4,5041984.5,-73.5484168698641,45.5177691963795
1402,Cadillac,Pierre-de-Coubertin,Mercier - Hochelaga - Maisonneuve,301750.1,5048270.1,-73.5390775607778,45.5743328787522
1403,Parc,5305,Plateau Mont-Royal,296992.44,5042369,-73.5999419879877,45.5211956238415
1404,Guy,Saint-Jacques,Sud-Ouest,299331.18,5039058.03,-73.5699676605079,45.491424399966
1405,Esplanade,Henri-Bourassa,Ahuntsic - Cartierville,291323.07,5045305.69,-73.6725942675664,45.5475344135765
1406,Beausoleil,Notre-Dame inter. Ouest,Rivières-des-Prairies - Pointe-aux-Trembles,305538.99,5060584.4,-73.4905128403802,45.6851460697962
1407,La Rousselière,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305238.75,5058630.05,-73.4943690879497,45.6675607786336
1408,Mont-Royal,Saint-Michel,Rosemont - Petite-Patrie,299738.51,5045409.78,-73.5648219129434,45.5485830454391
1409,Beaubien,Chabot,Rosemont - Petite-Patrie,297338.09,5044937.18,-73.5955565706967,45.5443088449007
1410,Mill,Oak,Sud-Ouest,300743.47,5038809.06,-73.5518968826394,45.4891936950196
1411,Bellechasse,Chabot,Rosemont - Petite-Patrie,297594.69,5044758.29,-73.5922679445349,45.5427018307098
1412,Mont-Royal,Parthenais,Plateau Mont-Royal,299234.54,5044057.46,-73.5712608184406,45.5364105372996
1413,Notre-Dame,Raoul-Jobin / Sainte-Maria-Gor,Rivières-des-Prairies - Pointe-aux-Trembles,305793.65,5061722.02,-73.4872411860857,45.695382208547
1414,Atwater,1588 Atwater  Forum Pepsi,Ville-Marie,298142.7,5038870,-73.5851704162232,45.4897220978016
1415,Legendre,Marché-Central,Ahuntsic - Cartierville,292854.26,5043730.23,-73.6529464929722,45.5333858347605
1416,Saint-Patrick,Thomas-Keefer,Sud-Ouest,299000,5037560,-73.5741870530798,45.4779417754255
1417,Angers,Saint-Patrick,Sud-Ouest,298115.9,5036481.61,-73.5854807793783,45.4682300138216
1418,Pullman,Saint-Rémi,Sud-Ouest,297251.47,5037044.36,-73.5965443234857,45.4732850943028
